SPI,Directionality,Literature_category,Module
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M10
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M14
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M01
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M01
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M07
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M07
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M07
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M14
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M01
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M01
wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M07
wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M07
wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M07
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M07
dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M07
dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M07
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M07
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M07
dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M07
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,Undirected,spectral,M12
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,Undirected,spectral,M12
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Undirected,spectral,M12
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,Directed,spectral,M06
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,Directed,spectral,M06
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M06
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,Directed,spectral,M08
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,Directed,spectral,M08
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,Directed,spectral,M08
psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,Directed,spectral,M08
psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,Directed,spectral,M08
psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,Directed,spectral,M08
lmfit_Ridge,Directed,misc,M14
lmfit_SGDRegressor,Directed,misc,M14
lmfit_ElasticNet,Directed,misc,M14
lmfit_BayesianRidge,Directed,misc,M14
gpfit_DotProduct,Directed,misc,M14
gpfit_RBF,Directed,misc,M14
coint_johansen_max_eig_stat_order-0_ardiff-10,Undirected,misc,M13
coint_johansen_trace_stat_order-0_ardiff-10,Undirected,misc,M13
coint_johansen_max_eig_stat_order-0_ardiff-1,Undirected,misc,M13
coint_johansen_trace_stat_order-0_ardiff-1,Undirected,misc,M13
coint_johansen_max_eig_stat_order-1_ardiff-10,Undirected,misc,M13
coint_johansen_trace_stat_order-1_ardiff-10,Undirected,misc,M13
coint_johansen_max_eig_stat_order-1_ardiff-1,Undirected,misc,M13
coint_johansen_trace_stat_order-1_ardiff-1,Undirected,misc,M13
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,Undirected,misc,M13
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,Undirected,misc,M13
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,Undirected,misc,M13
pec,Undirected,spectral,M11
pec_orth,Undirected,spectral,M11
pec_log,Undirected,spectral,M11
pec_orth_log,Undirected,spectral,M11
pec_orth_abs,Undirected,spectral,M11
pec_orth_log_abs,Undirected,spectral,M11
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,Directed,spectral,M01
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,Directed,spectral,M01
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,Directed,spectral,M01
di_kernel_W-0.5,Directed,infotheory,M03
di_kozachenko,Directed,infotheory,M03
di_gaussian,Directed,infotheory,M03
cce_gaussian,Directed,infotheory,M03
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,Directed,spectral,M05
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,Directed,spectral,M06
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,Directed,spectral,M05
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,Directed,spectral,M05
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,Directed,spectral,M06
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,Directed,spectral,M05
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,Directed,spectral,M05
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,Directed,spectral,M06
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,Directed,spectral,M05
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,Directed,spectral,M05
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,Directed,spectral,M06
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,Directed,spectral,M05
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,Directed,spectral,M05
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,Directed,spectral,M06
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,Directed,spectral,M05
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,Directed,spectral,M05
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,Directed,spectral,M06
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-None,Directed,spectral,M05
ccm_E-None_mean,Directed,causal,M14
ccm_E-None_max,Directed,causal,M14
