spi,category
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
pec,spectral
pec_log,spectral
pec_orth,spectral
pec_orth_abs,spectral
pec_orth_log,spectral
pec_orth_log_abs,spectral
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
phi_Geo_t-1_norm-0,infotheory
phi_Geo_t-1_norm-1,infotheory
phi_star_t-1_norm-0,infotheory
phi_star_t-1_norm-1,infotheory
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
prec_EllipticEnvelope,basic
prec_EmpiricalCovariance,basic
prec_GraphicalLasso,basic
prec_GraphicalLassoCV,basic
prec_LedoitWolf,basic
prec_MinCovDet,basic
prec_OAS,basic
prec_ShrunkCovariance,basic
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,spectral
psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,spectral
psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,spectral
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,spectral
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,spectral
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,spectral
reci,causal
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,spectral
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,spectral
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,spectral
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,spectral
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,spectral
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,spectral
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,spectral
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,spectral
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,spectral
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,spectral
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,spectral
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,spectral
sgc_parametric_max_fs-1_fmin-0_fmax-0-5_order-1,spectral
sgc_parametric_max_fs-1_fmin-0_fmax-0-5_order-20,spectral
sgc_parametric_max_fs-1_fmin-0_fmax-0-5_order-None,spectral
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,spectral
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,spectral
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,spectral
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,spectral
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,spectral
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,spectral
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-1,spectral
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-20,spectral
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,spectral
si_gaussian_k-1,infotheory
si_kernel_W-0.5_k-1,infotheory
si_kozachenko_k-1,infotheory
softdtw,distance
softdtw_constraint-itakura,distance
softdtw_constraint-sakoe-chiba,distance
spearmanr,basic
te_kernel_W-0.25_k-1,infotheory
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,infotheory
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,infotheory
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,infotheory
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,infotheory
te_kraskov_NN-4_k-max-10_tau-max-4,infotheory
te_symbolic_k-10_kt-1_l-1_lt-1,infotheory
te_symbolic_k-1_kt-1_l-1_lt-1,infotheory
tlmi_gaussian,infotheory
tlmi_kernel_W-0.25,infotheory
tlmi_kraskov_NN-4,infotheory
tlmi_kraskov_NN-4_DCE,infotheory
wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,spectral
wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,spectral
wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,spectral
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,spectral
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,spectral
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,spectral
xcorr_max_sig-True,basic
xcorr_mean_sig-False,basic
xcorr_mean_sig-True,basic
