SPI,Smartwatch activity accuracy,EEG state accuracy,fMRI film accuracy
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.824166667,0.614903299,0.620689655
pec,0.835,0.560182025,0.655172414
pec_log,0.846666667,0.562798635,0.672413793
pec_orth,0.7875,0.589078498,0.568965517
pec_orth_abs,0.705,0.58668942,0.534482759
pec_orth_log,0.82,0.560409556,0.448275862
pec_orth_log_abs,0.724166667,0.538339022,0.534482759
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5375,0.521387941,0.75862069
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.475,0.512400455,0.5
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4275,0.505119454,0.517241379
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.565,0.587258248,0.448275862
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.773333333,0.588623436,0.517241379
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.6925,0.518316268,0.672413793
phi_Geo_t-1_norm-0,0.860833333,0.62036405,0.603448276
phi_Geo_t-1_norm-1,0.8825,0.600796359,0.603448276
phi_star_t-1_norm-0,0.864166667,0.627872582,0.75862069
phi_star_t-1_norm-1,0.868333333,0.606143345,0.75862069
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4475,,0.5
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.6175,,0.448275862
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.525,,
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.59,0.587144482,0.534482759
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.7075,0.52923777,0.568965517
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.750833333,0.524004551,0.672413793
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.433333333,0.588395904,0.5
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.573333333,0.483731513,0.534482759
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.511666667,0.481569966,0.689655172
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.438333333,0.564505119,0.5
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.759166667,0.546416382,0.844827586
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.620833333,0.561774744,0.724137931
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.419166667,0.588623436,0.482758621
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.594166667,0.482821388,0.534482759
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.5225,0.484641638,0.689655172
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.465833333,0.565870307,0.534482759
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.750833333,0.542775882,0.793103448
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.646666667,0.567690557,0.724137931
prec_EllipticEnvelope,0.619166667,0.600341297,0.879310345
prec_EmpiricalCovariance,0.835,0.623208191,0.896551724
prec_GraphicalLasso,0.835833333,0.630375427,0.896551724
prec_GraphicalLassoCV,0.765833333,0.629465301,0.913793103
prec_LedoitWolf,0.77,0.635381115,0.913793103
prec_MinCovDet,0.5775,0.599203641,0.879310345
prec_OAS,0.8325,0.630944255,0.913793103
prec_ShrunkCovariance,0.844166667,0.626734926,0.896551724
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.363333333,0.592491468,0.448275862
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6575,0.584982935,0.551724138
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5825,0.560295791,0.517241379
psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.275833333,0.599772469,0.724137931
psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.3725,0.520136519,0.448275862
psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.265,0.600227531,0.793103448
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.276666667,0.5185438,0.586206897
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.399166667,0.528555176,0.413793103
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.326666667,0.506143345,0.672413793
reci,0.849166667,0.603299204,0.948275862
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,0.4775,0.590784983,0.655172414
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,0.756666667,0.538566553,0.534482759
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,0.7275,0.56996587,0.568965517
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,0.485,0.610580205,0.5
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,0.791666667,0.557110353,0.586206897
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.766666667,0.574857793,0.534482759
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.79,0.576905575,0.568965517
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,0.274166667,0.511035267,0.5
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,0.865,0.54334471,0.551724138
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,0.28,0.496928328,0.551724138
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,0.859166667,0.549146758,0.551724138
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,0.269166667,0.496700796,0.586206897
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,0.795833333,0.572468714,0.568965517
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,0.301666667,0.541979522,0.482758621
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,0.835833333,0.576109215,0.603448276
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,0.306666667,0.519908987,0.603448276
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.813333333,0.572127418,0.603448276
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,0.31,0.517406143,0.689655172
si_gaussian_k-1,0.88,0.622866894,0.793103448
si_kernel_W-0.5_k-1,0.825833333,0.634243458,0.844827586
si_kozachenko_k-1,0.45,0.563139932,0.620689655
softdtw,0.77,0.634584755,0.879310345
softdtw_constraint-itakura,0.771666667,0.624459613,0.879310345
softdtw_constraint-sakoe-chiba,0.7725,0.638680319,0.879310345
spearmanr,0.901666667,0.650170648,0.844827586
te_kernel_W-0.25_k-1,0.788333333,0.594653015,0.689655172
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.86,0.549374289,0.431034483
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.858333333,0.558703072,0.431034483
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.860833333,0.559044369,0.431034483
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.8775,0.605346985,0.448275862
te_kraskov_NN-4_k-max-10_tau-max-4,0.879166667,0.609442548,0.448275862
te_symbolic_k-10_kt-1_l-1_lt-1,0.853333333,0.632195677,0.586206897
te_symbolic_k-1_kt-1_l-1_lt-1,0.8475,0.628555176,0.586206897
tlmi_gaussian,0.7625,0.63105802,0.913793103
tlmi_kernel_W-0.25,0.663333333,0.637770193,0.844827586
tlmi_kraskov_NN-4,0.595833333,0.639476678,0.844827586
tlmi_kraskov_NN-4_DCE,0.745,0.625938567,0.827586207
wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.493333333,,0.5
wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.515833333,,0.482758621
wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.441666667,,
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.580833333,0.613083049,0.586206897
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.71,0.583390216,0.534482759
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.765,0.524573379,0.672413793
xcorr_max_sig-True,0.82,0.536405006,0.689655172
xcorr_mean_sig-False,0.548333333,0.590557452,0.586206897
xcorr_mean_sig-True,0.76,0.62923777,0.74137931
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,,0.563822526,
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,,0.539476678,0.568965517
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,,0.579863481,
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,,,0.655172414
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,,,0.603448276
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,,,0.603448276
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,,,0.74137931
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,,,0.655172414
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,,,0.74137931
