"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",62.7872582480091,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",66.7576791808874,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",67.8156996587031,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",67.4971558589306,0,TRUE,"Directed","spectral","M06"
"dcorr",65.2787258248009,0,TRUE,"Undirected","distance","M14"
"dcorr_biased",65.2901023890785,0,TRUE,"Undirected","distance","M14"
"dcorrx_maxlag-1",64.9374288964733,0,TRUE,"Undirected","distance","M14"
"dcorrx_maxlag-10",66.3367463026166,0,TRUE,"Undirected","distance","M14"
"ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5",63.7997724687144,0,TRUE,"Directed","spectral","M06"
"ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25",59.3515358361775,0,TRUE,"Directed","spectral","M06"
"ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5",59.0671217292378,0,TRUE,"Directed","spectral","M06"
"ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",67.4402730375427,0,TRUE,"Directed","spectral","M06"
"ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25",63.7997724687144,0,TRUE,"Directed","spectral","M06"
"ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5",65.1535836177474,0,TRUE,"Directed","spectral","M06"
"di_gaussian",68.9647326507395,0,TRUE,"Directed","infotheory","M03"
"di_kernel_W-0.5",65.7110352673493,0,TRUE,"Directed","infotheory","M03"
"di_kozachenko",61.5699658703072,0,TRUE,"Directed","infotheory","M03"
"dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",56.325369738339,0.0100000000000052,TRUE,"Undirected","spectral","M12"
"dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25",58.8509670079636,0,TRUE,"Undirected","spectral","M12"
"dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5",57.0875995449374,0.0100000000000052,TRUE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",59.4084186575654,0,TRUE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25",59.1695108077361,0,TRUE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5",59.6359499431172,0,TRUE,"Undirected","spectral","M12"
"dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5",56.9397042093288,0.0100000000000052,TRUE,"Directed","spectral","M06"
"dtf_multitaper_max_fs-1_fmin-0_fmax-0-25",55.4948805460751,0.28,FALSE,"Directed","spectral","M06"
"dtf_multitaper_max_fs-1_fmin-0_fmax-0-5",59.3174061433447,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",63.3902161547213,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25",60.6143344709898,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5",61.7519908987486,0,TRUE,"Directed","spectral","M06"
"dtw",54.6530147895336,1,FALSE,"Undirected","distance","M10"
"dtw_constraint-itakura",53.0716723549488,1,FALSE,"Undirected","distance","M10"
"dtw_constraint-sakoe-chiba",60.4778156996587,0,TRUE,"Undirected","distance","M10"
"gc_gaussian_k-1_kt-1_l-1_lt-1",62.4232081911263,0,TRUE,"Directed","infotheory","M05"
"gc_gaussian_k-max-10_tau-max-2",62.8782707622298,0,TRUE,"Directed","infotheory","M05"
"gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5",56.382252559727,0.0100000000000052,TRUE,"Directed","spectral","M01"
"gd_multitaper_delay_fs-1_fmin-0_fmax-0-25",53.9476678043231,1,FALSE,"Directed","spectral","M01"
"gd_multitaper_delay_fs-1_fmin-0_fmax-0-5",57.9863481228669,0,TRUE,"Directed","spectral","M01"
"gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",59.7269624573379,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",54.5733788395904,1,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",57.5881683731513,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",61.0921501706485,0,TRUE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",56.0978384527873,0.060000000000007,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",57.7474402730375,0,TRUE,"Directed","spectral","M06"
"gpfit_DotProduct",61.2059158134243,0,TRUE,"Directed","misc","M14"
"gpfit_RBF",63.0261660978385,0,TRUE,"Directed","misc","M14"
"hhg",65.3242320819113,0,TRUE,"Undirected","distance","M14"
"hsic",65.8361774744027,0,TRUE,"Undirected","distance","M14"
"hsic_biased",65.6427758816837,0,TRUE,"Undirected","distance","M14"
"icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",55.3924914675768,0.359999999999994,FALSE,"Undirected","spectral","M12"
"icoh_multitaper_max_fs-1_fmin-0_fmax-0-25",58.1911262798635,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_max_fs-1_fmin-0_fmax-0-5",60.8873720136519,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",60.3185437997725,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",62.0477815699659,0,TRUE,"Undirected","spectral","M12"
"icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",61.6609783845279,0,TRUE,"Undirected","spectral","M12"
"igci",54.3117178612059,1,FALSE,"Directed","causal","M03"
"je_gaussian",62.0136518771331,0,TRUE,"Undirected","infotheory","M14"
"je_kernel_W-0.5",61.3993174061434,0,TRUE,"Undirected","infotheory","M14"
"je_kozachenko",56.6666666666667,0.0100000000000052,TRUE,"Undirected","infotheory","M14"
"kendalltau",64.9601820250284,0,TRUE,"Undirected","basic","M14"
"lcss",53.4584755403868,1,FALSE,"Undirected","distance","M10"
"lcss_constraint-itakura",54.5392491467577,1,FALSE,"Undirected","distance","M10"
"lcss_constraint-sakoe-chiba",61.4334470989761,0,TRUE,"Undirected","distance","M10"
"lmfit_BayesianRidge",61.8430034129693,0,TRUE,"Directed","misc","M14"
"lmfit_ElasticNet",63.1968145620023,0,TRUE,"Directed","misc","M14"
"lmfit_Ridge",61.6609783845279,0,TRUE,"Directed","misc","M14"
"lmfit_SGDRegressor",61.4220705346985,0,TRUE,"Directed","misc","M14"
"mgc",65.0853242320819,0,TRUE,"Undirected","distance","M14"
"mgcx_maxlag-1",65.5062571103527,0,TRUE,"Undirected","distance","M14"
"mgcx_maxlag-10",66.3594994311718,0,TRUE,"Undirected","distance","M14"
"mi_gaussian",62.7872582480091,0,TRUE,"Undirected","infotheory","M14"
"mi_kernel_W-0.25",65.1535836177474,0,TRUE,"Undirected","infotheory","M14"
"mi_kraskov_NN-4",64.778156996587,0,TRUE,"Undirected","infotheory","M14"
"mi_kraskov_NN-4_DCE",64.1183162684869,0,TRUE,"Undirected","infotheory","M14"
"pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",56.712172923777,0.0100000000000052,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",55.2445961319682,0.440000000000011,FALSE,"Directed","spectral","M06"
"pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",58.4982935153584,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",63.9931740614334,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",62.2070534698521,0,TRUE,"Directed","spectral","M06"
"pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",61.490329920364,0,TRUE,"Directed","spectral","M06"
"pec",56.0182025028441,0.0799999999999932,FALSE,"Undirected","spectral","M11"
"pec_log",56.2798634812287,0.0100000000000052,TRUE,"Undirected","spectral","M11"
"pec_orth",58.9078498293515,0,TRUE,"Undirected","spectral","M11"
"pec_orth_abs",58.6689419795222,0,TRUE,"Undirected","spectral","M11"
"pec_orth_log",56.0409556313993,0.0799999999999932,FALSE,"Undirected","spectral","M11"
"pec_orth_log_abs",53.8339021615472,1,FALSE,"Undirected","spectral","M11"
"phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5",52.1387940841866,1,FALSE,"Undirected","spectral","M10"
"phase_multitaper_max_fs-1_fmin-0_fmax-0-25",51.2400455062571,1,FALSE,"Undirected","spectral","M10"
"phase_multitaper_max_fs-1_fmin-0_fmax-0-5",50.5119453924915,1,FALSE,"Undirected","spectral","M10"
"phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",58.7258248009101,0,TRUE,"Undirected","spectral","M01"
"phase_multitaper_mean_fs-1_fmin-0_fmax-0-25",58.8623435722412,0,TRUE,"Undirected","spectral","M01"
"phase_multitaper_mean_fs-1_fmin-0_fmax-0-5",51.8316268486917,1,FALSE,"Undirected","spectral","M01"
"phi_Geo_t-1_norm-0",62.0364050056883,0,TRUE,"Undirected","infotheory","M05"
"phi_Geo_t-1_norm-1",60.0796359499431,0,TRUE,"Undirected","infotheory","M05"
"phi_star_t-1_norm-0",62.7872582480091,0,TRUE,"Undirected","infotheory","M05"
"phi_star_t-1_norm-1",60.6143344709898,0,TRUE,"Undirected","infotheory","M05"
"pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",58.7144482366325,0,TRUE,"Undirected","spectral","M01"
"pli_multitaper_mean_fs-1_fmin-0_fmax-0-25",52.9237770193402,1,FALSE,"Undirected","spectral","M01"
"pli_multitaper_mean_fs-1_fmin-0_fmax-0-5",52.4004550625711,1,FALSE,"Undirected","spectral","M14"
"plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5",58.839590443686,0,TRUE,"Undirected","spectral","M10"
"plv_multitaper_max_fs-1_fmin-0_fmax-0-25",48.3731513083049,1,FALSE,"Undirected","spectral","M12"
"plv_multitaper_max_fs-1_fmin-0_fmax-0-5",48.1569965870307,1,FALSE,"Undirected","spectral","M12"
"plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",56.4505119453925,0.0100000000000052,TRUE,"Undirected","spectral","M10"
"plv_multitaper_mean_fs-1_fmin-0_fmax-0-25",54.641638225256,1,FALSE,"Undirected","spectral","M10"
"plv_multitaper_mean_fs-1_fmin-0_fmax-0-5",56.1774744027304,0.0299999999999914,TRUE,"Undirected","spectral","M10"
"ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5",58.8623435722412,0,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_max_fs-1_fmin-0_fmax-0-25",48.2821387940842,1,FALSE,"Undirected","spectral","M12"
"ppc_multitaper_max_fs-1_fmin-0_fmax-0-5",48.4641638225256,1,FALSE,"Undirected","spectral","M12"
"ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",56.5870307167236,0.0100000000000052,TRUE,"Undirected","spectral","M12"
"ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25",54.2775881683731,1,FALSE,"Undirected","spectral","M12"
"ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5",56.769055745165,0.0100000000000052,TRUE,"Undirected","spectral","M12"
"prec_EllipticEnvelope",60.0341296928328,0,TRUE,"Undirected","basic","M14"
"prec_EmpiricalCovariance",62.320819112628,0,TRUE,"Undirected","basic","M14"
"prec_GraphicalLasso",63.037542662116,0,TRUE,"Undirected","basic","M14"
"prec_GraphicalLassoCV",62.9465301478953,0,TRUE,"Undirected","basic","M14"
"prec_LedoitWolf",63.5381114903299,0,TRUE,"Undirected","basic","M14"
"prec_MinCovDet",59.9203640500569,0,TRUE,"Undirected","basic","M14"
"prec_OAS",63.094425483504,0,TRUE,"Undirected","basic","M14"
"prec_ShrunkCovariance",62.6734926052332,0,TRUE,"Undirected","basic","M14"
"psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",59.2491467576792,0,TRUE,"Directed","spectral","M01"
"psi_multitaper_mean_fs-1_fmin-0_fmax-0-25",58.4982935153584,0,TRUE,"Directed","spectral","M01"
"psi_multitaper_mean_fs-1_fmin-0_fmax-0-5",56.0295790671217,0.0799999999999932,FALSE,"Directed","spectral","M01"
"psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max",59.9772468714448,0,TRUE,"Directed","spectral","M08"
"psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max",52.0136518771331,1,FALSE,"Directed","spectral","M08"
"psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max",60.0227531285552,0,TRUE,"Directed","spectral","M08"
"psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean",51.8543799772469,1,FALSE,"Directed","spectral","M08"
"psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean",52.8555176336746,1,FALSE,"Directed","spectral","M08"
"psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean",50.6143344709898,1,FALSE,"Directed","spectral","M08"
"reci",60.3299203640501,0,TRUE,"Directed","causal","M14"
"sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5",59.0784982935154,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25",53.8566552901024,1,FALSE,"Directed","spectral","M06"
"sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5",56.9965870307167,0.0100000000000052,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5",61.0580204778157,0,TRUE,"Directed","spectral","M06"
"sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25",55.7110352673493,0.169999999999992,FALSE,"Directed","spectral","M06"
"sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5",57.485779294653,0,TRUE,"Directed","spectral","M06"
"sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1",57.6905574516496,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20",51.103526734926,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1",54.3344709897611,1,FALSE,"Directed","spectral","M05"
"sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20",49.6928327645051,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1",54.9146757679181,0.81000000000001,FALSE,NA,NA,NA
"sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20",49.6700796359499,1,FALSE,NA,NA,NA
"sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1",57.2468714448237,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20",54.19795221843,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1",57.6109215017065,0,TRUE,"Directed","spectral","M05"
"sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20",51.9908987485779,1,FALSE,"Directed","spectral","M06"
"sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1",57.2127417519909,0,TRUE,NA,NA,NA
"sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20",51.740614334471,1,FALSE,NA,NA,NA
"si_gaussian_k-1",62.2866894197952,0,TRUE,"Undirected","infotheory","M05"
"si_kernel_W-0.5_k-1",63.424345847554,0,TRUE,"Undirected","infotheory","M14"
"si_kozachenko_k-1",56.3139931740614,0.0100000000000052,TRUE,"Undirected","infotheory","M14"
"softdtw",63.4584755403868,0,TRUE,"Undirected","distance","M10"
"softdtw_constraint-itakura",62.4459613196815,0,TRUE,"Undirected","distance","M10"
"softdtw_constraint-sakoe-chiba",63.86803185438,0,TRUE,"Undirected","distance","M10"
"spearmanr",65.0170648464164,0,TRUE,"Undirected","basic","M14"
"te_kernel_W-0.25_k-1",59.4653014789534,0,TRUE,"Directed","infotheory","M14"
"te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1",54.9374288964733,0.769999999999989,FALSE,"Directed","infotheory","M04"
"te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1",55.8703071672355,0.129999999999995,FALSE,"Directed","infotheory","M04"
"te_kraskov_NN-4_DCE_k-max-10_tau-max-4",55.9044368600683,0.129999999999995,FALSE,"Directed","infotheory","M04"
"te_kraskov_NN-4_k-1_kt-1_l-1_lt-1",60.5346985210466,0,TRUE,"Directed","infotheory","M04"
"te_kraskov_NN-4_k-max-10_tau-max-4",60.9442548350398,0,TRUE,"Directed","infotheory","M04"
"te_symbolic_k-10_kt-1_l-1_lt-1",63.2195676905575,0,TRUE,"Directed","infotheory","M05"
"te_symbolic_k-1_kt-1_l-1_lt-1",62.8555176336746,0,TRUE,"Directed","infotheory","M05"
"tlmi_gaussian",63.1058020477816,0,TRUE,"Undirected","infotheory","M14"
"tlmi_kernel_W-0.25",63.7770193401593,0,TRUE,"Undirected","infotheory","M14"
"tlmi_kraskov_NN-4",63.9476678043231,0,TRUE,"Undirected","infotheory","M14"
"tlmi_kraskov_NN-4_DCE",62.5938566552901,0,TRUE,"Undirected","infotheory","M14"
"wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",61.3083048919226,0,TRUE,"Undirected","spectral","M01"
"wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25",58.3390216154721,0,TRUE,"Undirected","spectral","M01"
"wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5",52.457337883959,1,FALSE,"Undirected","spectral","M14"
"xcorr_max_sig-True",53.6405005688282,1,FALSE,"Undirected","basic","M10"
"xcorr_mean_sig-False",59.0557451649602,0,TRUE,"Undirected","basic","M14"
"xcorr_mean_sig-True",62.9237770193402,0,TRUE,"Undirected","basic","M14"
"anm",63.7931034482759,1,FALSE,"Directed","causal","M02"
"bary_dtw_max",77.5862068965517,0.340000000000002,FALSE,"Undirected","distance","M14"
"bary_dtw_mean",53.448275862069,1,FALSE,"Undirected","distance","M09"
"bary_euclidean_max",89.6551724137931,0,TRUE,"Undirected","distance","M14"
"bary_sgddtw_max",67.2413793103448,1,FALSE,"Undirected","distance","M14"
"bary_sgddtw_mean",55.1724137931034,1,FALSE,"Undirected","distance","M09"
"bary_softdtw_max",62.0689655172414,1,FALSE,"Undirected","distance","M14"
"bary_softdtw_mean",56.8965517241379,1,FALSE,"Undirected","distance","M09"
"cce_gaussian",82.7586206896552,0.0199999999999971,TRUE,"Directed","infotheory","M03"
"cce_kernel_W-0.5",89.6551724137931,0,TRUE,"Directed","infotheory","M03"
"cce_kozachenko",72.4137931034483,1,FALSE,"Directed","infotheory","M03"
"ccm_E-10_max",86.2068965517241,0,TRUE,"Directed","causal","M14"
"ccm_E-10_mean",86.2068965517241,0,TRUE,"Directed","causal","M14"
"ccm_E-1_max",84.4827586206897,0.00999999999999857,TRUE,"Directed","causal","M14"
"ccm_E-1_mean",81.0344827586207,0.0299999999999957,TRUE,"Directed","causal","M14"
"ccm_E-None_max",86.2068965517241,0,TRUE,"Directed","causal","M14"
"ccm_E-None_mean",86.2068965517241,0,TRUE,"Directed","causal","M14"
"cds",53.448275862069,1,FALSE,"Directed","causal","M02"
"ce_gaussian",91.3793103448276,0,TRUE,"Undirected","infotheory","M14"
"ce_kernel_W-0.5",87.9310344827586,0,TRUE,"Undirected","infotheory","M14"
"ce_kozachenko",79.3103448275862,0.110000000000009,FALSE,"Undirected","infotheory","M14"
"cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5",62.0689655172414,1,FALSE,"Undirected","spectral","M12"
"cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25",51.7241379310345,1,FALSE,"Undirected","spectral","M12"
"cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5",62.0689655172414,1,FALSE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",68.9655172413793,1,FALSE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25",81.0344827586207,0.0299999999999957,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",70.6896551724138,1,FALSE,"Undirected","spectral","M12"
"coint_aeg_tstat_trend-c_autolag-aic_maxlag-10",74.1379310344828,0.939999999999991,FALSE,"Undirected","misc","M13"
"coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",74.1379310344828,0.939999999999991,FALSE,"Undirected","misc","M13"
"coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10",58.6206896551724,1,FALSE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-0_ardiff-1",60.3448275862069,1,FALSE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-0_ardiff-10",68.9655172413793,1,FALSE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-1_ardiff-1",60.3448275862069,1,FALSE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-1_ardiff-10",68.9655172413793,1,FALSE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-0_ardiff-1",68.9655172413793,1,FALSE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-0_ardiff-10",58.6206896551724,1,FALSE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-1_ardiff-1",68.9655172413793,1,FALSE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-1_ardiff-10",58.6206896551724,1,FALSE,"Undirected","misc","M13"
"cov_EllipticEnvelope",91.3793103448276,0,TRUE,"Undirected","basic","M14"
"cov_EmpiricalCovariance",86.2068965517241,0,TRUE,"Undirected","basic","M14"
"cov_GraphicalLasso",86.2068965517241,0,TRUE,"Undirected","basic","M14"
"cov_GraphicalLassoCV",86.2068965517241,0,TRUE,"Undirected","basic","M14"
"cov_LedoitWolf",86.2068965517241,0,TRUE,"Undirected","basic","M14"
"cov_MinCovDet",93.1034482758621,0,TRUE,"Undirected","basic","M14"
"cov_OAS",86.2068965517241,0,TRUE,"Undirected","basic","M14"
"cov_ShrunkCovariance",86.2068965517241,0,TRUE,"Undirected","basic","M14"
"dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",68.9655172413793,1,FALSE,"Directed","spectral","M06"
"dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",60.3448275862069,1,FALSE,"Directed","spectral","M06"
"dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",60.3448275862069,1,FALSE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",65.5172413793103,1,FALSE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",63.7931034482759,1,FALSE,"Directed","spectral","M06"
"dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",67.2413793103448,1,FALSE,"Directed","spectral","M06"
"dcorr",87.9310344827586,0,TRUE,"Undirected","distance","M14"
"dcorr_biased",87.9310344827586,0,TRUE,"Undirected","distance","M14"
"dcorrx_maxlag-1",84.4827586206897,0.00999999999999857,TRUE,"Undirected","distance","M14"
"dcorrx_maxlag-10",91.3793103448276,0,TRUE,"Undirected","distance","M14"
"ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5",67.2413793103448,1,FALSE,"Directed","spectral","M06"
"ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25",55.1724137931034,1,FALSE,"Directed","spectral","M06"
"ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5",55.1724137931034,1,FALSE,"Directed","spectral","M06"
"ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",62.0689655172414,1,FALSE,"Directed","spectral","M06"
"ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25",60.3448275862069,1,FALSE,"Directed","spectral","M06"
"ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5",68.9655172413793,1,FALSE,"Directed","spectral","M06"
"di_gaussian",86.2068965517241,0,TRUE,"Directed","infotheory","M03"
"di_kernel_W-0.5",84.4827586206897,0.00999999999999857,TRUE,"Directed","infotheory","M03"
"di_kozachenko",79.3103448275862,0.110000000000009,FALSE,"Directed","infotheory","M03"
"dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",56.8965517241379,1,FALSE,"Undirected","spectral","M12"
"dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25",50,1,FALSE,"Undirected","spectral","M12"
"dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5",50,1,FALSE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",48.2758620689655,1,FALSE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25",48.2758620689655,1,FALSE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5",53.448275862069,1,FALSE,"Undirected","spectral","M12"
"dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5",72.4137931034483,1,FALSE,"Directed","spectral","M06"
"dtf_multitaper_max_fs-1_fmin-0_fmax-0-25",58.6206896551724,1,FALSE,"Directed","spectral","M06"
"dtf_multitaper_max_fs-1_fmin-0_fmax-0-5",72.4137931034483,1,FALSE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",65.5172413793103,1,FALSE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25",65.5172413793103,1,FALSE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5",62.0689655172414,1,FALSE,"Directed","spectral","M06"
"dtw",84.4827586206897,0.00999999999999857,TRUE,"Undirected","distance","M10"
"dtw_constraint-itakura",91.3793103448276,0,TRUE,"Undirected","distance","M10"
"dtw_constraint-sakoe-chiba",81.0344827586207,0.0299999999999957,TRUE,"Undirected","distance","M10"
"gc_gaussian_k-1_kt-1_l-1_lt-1",58.6206896551724,1,FALSE,"Directed","infotheory","M05"
"gc_gaussian_k-max-10_tau-max-2",58.6206896551724,1,FALSE,"Directed","infotheory","M05"
"gd_multitaper_delay_fs-1_fmin-0_fmax-0-25",56.8965517241379,1,FALSE,"Directed","spectral","M01"
"gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",67.2413793103448,1,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",60.3448275862069,1,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5",70.6896551724138,1,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",74.1379310344828,0.939999999999991,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25",56.8965517241379,1,FALSE,"Directed","spectral","M06"
"gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5",65.5172413793103,1,FALSE,"Directed","spectral","M06"
"gpfit_DotProduct",86.2068965517241,0,TRUE,"Directed","misc","M14"
"gpfit_RBF",87.9310344827586,0,TRUE,"Directed","misc","M14"
"hhg",89.6551724137931,0,TRUE,"Undirected","distance","M14"
"hsic",91.3793103448276,0,TRUE,"Undirected","distance","M14"
"hsic_biased",91.3793103448276,0,TRUE,"Undirected","distance","M14"
