"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"dspli_multitaper_max_fs-1_fmin-0_fmax-0-5",30.25,1,FALSE,"Undirected","spectral","M07"
"dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",41.6666666666667,0,TRUE,"Undirected","spectral","M12"
"dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25",65,0,TRUE,"Undirected","spectral","M12"
"dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5",60.9166666666667,0,TRUE,"Undirected","spectral","M12"
"dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5",34.5833333333333,0.380000000000009,FALSE,"Undirected","spectral","M07"
"dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25",37.8333333333333,0.0199999999999925,TRUE,"Undirected","spectral","M07"
"dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5",29.1666666666667,1,FALSE,"Undirected","spectral","M07"
"dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",39.9166666666667,0,TRUE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25",65.8333333333333,0,TRUE,"Undirected","spectral","M12"
"dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5",60,0,TRUE,"Undirected","spectral","M12"
"dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5",77.4166666666667,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_max_fs-1_fmin-0_fmax-0-25",76,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_max_fs-1_fmin-0_fmax-0-5",77.6666666666667,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",78.0833333333333,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25",80.3333333333333,0,TRUE,"Directed","spectral","M06"
"dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5",81.3333333333333,0,TRUE,"Directed","spectral","M06"
"dtw",80.6666666666667,0,TRUE,"Undirected","distance","M10"
"dtw_constraint-itakura",77.5,0,TRUE,"Undirected","distance","M10"
